genus,species_epithet,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,ca1,ca5,ca6,ca7,ca8,ca9,ca14
Echimonocolpites,spinosus,1,?,0,0,0,0,2,?,?,?,1,0,1,0,?,?,?,0,?,1,3,?,0,?,?,?,?,?,?,0,0,0,1,0,?,0
Endoinfundibulapollis,distinctus,9,0,0,0,0,2,1,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,1,3,0,0,0,1,0,4,0,2,0,?,?,?
Erdtmanipollis,procumbentiformis,A,5,0,0,0,1,2,1,2,?,2,0,1,0,?,6,?,1,2,1,7,?,0,?,?,?,?,?,?,4,0,1,1,0,1,0
Ericipites,rallus,4,0,?,0,1,?,1,?,?,?,0,?,1,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,1,1,?,0,?,?,?
Extremipollis,caminus,9,0,0,0,0,2,1,?,?,?,1,?,1,1,2,1,?,?,?,?,?,?,1,3,1,0,0,1,0,4,0,2,0,?,?,1
Extremipollis,versatilis,9,0,0,0,0,2,1,?,?,?,1,?,1,1,2,7,?,?,?,?,?,?,1,3,1,0,0,1,0,4,0,2,0,?,?,1
Extremipollis,visus,9,0,0,0,0,2,1,?,?,?,1,?,1,1,2,7,?,?,?,?,?,?,1,3,1,0,0,1,0,4,0,2,0,?,?,1
Foveotetradites,dignatus,4,2,0,0,1,?,1,?,?,?,1,0,1,1,5,6,?,?,0,?,?,?,0,?,?,?,?,?,?,1,1,?,0,?,?,1
Foveotetradites,fisulosus,4,2,0,0,1,3,1,?,1,?,2,0,1,1,5,6,?,1,0,?,?,?,0,?,?,?,?,?,?,1,1,2,0,?,0,1
Foveotricolpites,concinnus,4,2,0,0,0,?,1,0,1,?,1,0,1,1,?,6,0,1,0,?,?,?,1,?,?,?,?,?,?,1,0,?,0,1,0,1
Foveotricolpites,robustus,4,2,0,0,0,1,1,0,1,?,1,0,1,1,5,6,?,?,0,?,?,?,1,?,?,?,?,?,?,1,0,1,0,1,0,1
Foveotricolporites,callosus,5,2,0,0,0,2,1,0,1,?,2,0,1,1,5,6,?,1,0,?,?,?,1,?,?,?,?,?,?,3,0,2,0,1,0,1
Fraxinoipollenites,constrictus,4,2,0,0,0,?,1,0,1,?,1,?,1,0,?,6,0,1,1,?,?,?,?,?,?,?,?,?,?,1,0,?,0,1,0,0
Fraxinoipollenites,variabilis,4,2,0,0,0,?,1,0,1,?,1,?,1,0,?,6,?,1,0,?,?,?,0,?,?,?,?,?,?,1,0,?,0,1,0,0
Fraxinoipollenites,venustus,4,2,0,0,0,?,1,0,1,?,1,0,1,1,3,6,0,1,0,?,?,?,0,?,?,?,?,?,?,1,0,?,0,1,0,1
Gemmatricolpites,gemmatus,4,2,?,0,0,1,0,0,1,?,1,?,1,1,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,1,1,1,0,1
Grewipollenites,canadensis,4,2,0,0,0,1,1,2,?,?,?,?,1,0,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,0,2,?,0
Grewipollenites,radiatus,4,2,0,0,0,1,0,?,?,?,1,?,1,0,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,1,?,?,0
Haloragacidites,quadratus,A,0,0,0,0,4,1,?,?,?,0,?,1,?,?,0,?,?,?,?,?,?,1,?,0,?,0,0,0,4,0,3,0,?,?,?
Hammenia,fredericksburgensis,6,0,0,0,0,1,1,2,1,?,1,?,1,0,?,6,?,1,0,1,0,?,0,?,?,?,?,?,?,1,0,1,0,2,0,0
Holkopollenites,chemardensis,5,2,0,0,0,2,2,2,?,?,?,1,1,1,?,4,?,?,?,?,?,?,?,?,?,?,?,?,?,3,0,2,1,2,?,1
Inaperturotetradites,scabratus,0,?,?,0,1,1,1,1,1,?,0,?,1,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,0,0,0,0
Interpollis,paleocenicus,A,1,0,0,0,2,1,?,?,?,1,?,1,1,1,?,?,0,?,1,?,?,0,1,1,0,0,1,0,4,0,2,0,?,?,1
Kurtzipites,annulatus,5,0,0,0,0,2,1,2,?,?,?,?,1,?,?,6,?,?,0,?,?,?,1,?,?,?,?,?,?,3,0,2,0,2,?,?
Kurtzipites,circularis,9,0,0,0,0,1,1,2,?,?,0,?,1,?,?,0,?,?,?,?,?,?,1,?,0,0,0,0,0,4,0,1,0,2,?,?
Kurtzipites,trispissatus,5,0,0,0,0,2,1,2,1,?,1,?,1,?,?,?,?,0,?,1,3,?,2,?,?,?,?,?,?,3,0,2,0,2,0,?
Libopollis,jarzenii,D,2,1,0,0,1,1,?,?,?,1,0,1,1,5,6,0,1,2,0,?,?,?,?,?,?,?,?,?,3,0,1,0,?,?,1
Liliacidites,altimurus,1,?,0,0,0,0,1,?,?,?,3,0,1,1,?,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,complexus,1,?,0,0,0,?,2,?,?,?,?,?,1,1,1,6,1,1,2,0,?,?,0,?,?,?,?,?,?,0,0,?,1,0,?,1
Liliacidites,dictyotus,1,?,0,0,0,0,1,?,?,?,1,0,1,1,6,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,doylei,1,?,0,0,0,0,2,?,?,?,0,0,1,1,3,6,?,1,2,0,?,?,0,?,?,?,?,?,?,0,0,0,1,0,?,1
Liliacidites,giganteus,1,?,0,0,0,0,2,?,?,?,2,0,1,1,6,6,1,1,2,?,?,?,0,?,?,?,?,?,?,0,0,0,1,0,?,1
Liliacidites,inaequalis,1,?,0,0,0,0,2,?,?,?,1,1,1,1,3,6,0,1,2,?,?,?,0,?,?,?,?,?,?,0,0,0,1,0,?,1
Liliacidites,kiowaensis,1,?,0,0,0,0,1,?,?,?,1,0,1,1,2,6,?,1,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,leei,1,?,0,0,0,0,1,2,?,?,0,?,1,1,3,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,lenticularis,1,?,0,0,0,0,1,?,?,?,1,0,1,1,3,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,magnus,1,?,0,0,0,0,2,?,?,?,1,0,1,1,6,6,1,1,0,1,0,?,0,?,?,?,?,?,?,0,0,0,1,0,?,1
Liliacidites,morrinensis,1,?,0,0,0,0,1,?,?,?,0,?,1,1,6,6,?,1,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,sp. A (Doyle and Robbins 1977),1,?,0,?,0,0,1,?,?,?,?,?,1,1,3,6,?,1,2,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,tectatus,1,?,0,0,0,1,1,?,?,?,1,0,1,1,1,6,?,?,2,?,?,?,?,?,?,?,?,?,?,0,0,1,0,0,?,1
Liliacidites,variegatus,1,?,0,0,0,0,1,?,?,?,1,1,1,1,3,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Mancicorpus,calvus,4,?,0,0,0,2,2,6,1,1,2,?,1,1,?,6,?,1,?,1,3,0,2,?,?,?,?,?,?,1,0,2,1,3,0,1
Mancicorpus,tripodiformis,7,?,0,0,0,2,2,6,0,2,?,?,1,1,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,2,1,3,1,1
Margocolporites,cribellatus,5,2,0,0,0,1,1,2,?,?,1,0,1,0,?,6,?,1,0,0,?,?,1,?,?,?,?,?,?,3,0,1,0,2,?,0
Margocolporites,lihokus,5,2,0,0,0,1,2,2,?,?,2,1,1,1,5,6,?,1,2,0,?,?,1,?,?,?,?,?,?,3,0,1,1,2,?,1
Margocolporites,taylorii,5,2,0,0,0,1,1,?,?,?,?,?,1,0,?,6,?,1,2,1,0,?,1,?,?,?,?,?,?,3,0,1,0,?,?,0
Minorpollis,minima,9,0,0,0,0,2,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,1,3,0,0,0,?,0,4,0,2,1,?,?,?
Momipites,fragilis,9,0,0,0,0,2,0,?,?,?,0,1,1,1,2,0,?,?,?,?,?,?,0,1,0,0,0,0,0,4,0,2,1,?,?,1
Momipites,tenuipolus,9,0,0,0,0,2,0,2,?,?,?,?,1,?,?,?,?,?,?,?,?,?,1,?,?,0,0,0,0,4,0,2,1,2,?,?
Momipites,wyomingensis,9,0,0,0,0,2,1,2,?,?,0,?,1,0,?,0,?,?,?,?,?,?,1,1,0,0,0,0,0,4,0,2,0,2,?,0
Monosulcites,tectatus,1,?,0,0,0,0,1,?,?,?,1,0,1,0,?,6,?,1,?,1,0,?,0,?,?,?,?,?,?,0,0,0,0,?,?,0
Montanapollis,endannulatus,9,0,0,0,0,2,2,?,?,?,3,?,1,1,2,4,?,?,?,?,?,?,0,5,0,0,0,?,0,4,0,2,1,?,?,1
Myrtipites,granulatus,9,0,0,0,0,2,1,?,?,?,2,?,1,?,?,?,?,0,?,1,0,?,?,3,1,0,?,1,0,4,0,2,0,?,?,?
Myrtipites,scabratus,9,0,0,0,0,2,1,?,?,?,?,?,1,?,?,?,?,0,?,1,0,?,?,3,1,?,?,?,?,4,0,2,0,?,?,?
Nyssapollenites,albertensis,5,2,0,0,0,2,0,0,1,?,1,?,1,?,?,0,?,?,?,?,?,?,1,?,?,?,?,?,?,3,0,2,1,1,0,?
Nyssapollenites,analepticus,5,2,0,0,0,2,1,2,?,?,?,?,1,?,?,6,?,?,?,?,?,?,0,?,?,?,?,?,?,3,0,2,0,2,?,?
Nyssapollenites,nigricolpus,5,2,0,0,0,2,0,2,0,?,1,?,0,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,3,0,2,1,2,1,?
Nyssapollenites,psuedocruciatus,5,2,0,0,0,1,1,2,?,?,?,?,1,?,?,6,?,1,0,?,?,?,?,?,?,?,?,?,?,3,0,1,0,2,?,?
Nyssapollenites,triangulus,5,2,0,0,0,2,1,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,3,0,2,0,?,?,?
Osculapollis,aequalis,9,0,0,0,0,2,1,?,?,?,1,?,0,?,?,?,?,?,?,?,?,?,1,3,1,0,0,1,0,4,0,2,0,?,?,?
Osculapollis,perspectus,9,0,0,0,0,2,1,?,?,?,2,?,0,?,?,?,?,?,?,?,?,?,1,3,1,0,0,1,0,4,0,2,0,?,?,?
Palmidites,maximus,1,?,0,0,0,0,2,?,?,?,1,?,1,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,0,0,0,1,?,?,?
Pandaniidites,radicus,8,?,0,0,0,1,1,0,1,?,0,?,1,0,?,3,?,?,?,?,?,?,1,?,?,?,?,?,?,?,0,1,0,1,0,0
Phimopollenites,augathellaensis,4,2,1,0,0,1,1,0,1,?,1,0,1,0,?,6,?,1,0,0,?,?,0,?,?,?,?,?,?,2,0,1,0,1,0,0
Phimopollenites,megistus,4,0,1,0,0,1,1,0,1,?,1,0,1,0,?,6,0,1,1,?,?,?,0,?,?,?,?,?,?,2,0,1,0,1,0,0
Phimopollenites,pannosus,4,2,1,0,0,1,1,0,1,?,1,1,1,0,?,6,?,1,1,0,?,?,0,?,?,?,?,?,?,2,0,1,0,1,0,0
Phimopollenites,pseudocheros,4,0,1,0,0,1,1,0,?,?,1,0,1,0,?,6,?,1,0,0,?,?,0,?,?,?,?,?,?,2,0,1,0,1,?,0
Phimopollenites,tectatus,4,0,1,0,0,1,1,0,1,?,1,0,1,0,?,6,?,1,0,?,?,?,0,?,?,?,?,?,?,2,0,1,0,1,0,0
Plicapollis,incisus,9,0,0,0,0,2,1,?,?,?,2,1,1,?,?,?,?,?,?,?,?,?,1,3,0,0,1,1,0,4,0,2,0,?,?,?
Plicapollis,retusus,9,0,0,0,0,2,1,?,?,?,1,?,1,1,2,1,?,?,?,?,?,?,1,3,1,0,1,1,0,4,0,2,0,?,?,1
Plicapollis,rusticus,9,0,0,0,0,2,1,?,?,?,1,?,1,1,5,1,?,?,?,?,?,?,1,3,1,0,1,1,0,4,0,2,0,?,?,1
Plicapollis,usitatus,9,0,0,0,0,2,1,?,?,?,1,?,0,?,?,?,?,?,?,?,?,?,1,3,1,0,1,1,0,4,0,2,0,?,?,?
Plicapollis,vacuus,9,0,0,0,0,2,1,?,?,?,0,?,1,?,?,1,?,?,?,?,?,?,1,3,1,0,1,1,0,4,0,2,0,?,?,?
Polyadopollenites,psilatus,0,?,?,0,2,?,0,?,0,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,1,?,1,?
