genus,species_epithet,taxon_authorship,morphology_sources,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,notes
Nyssoidites,anulatus,"(Chlonova 1961) Sweet, 1986",Sweet 1986,5,0,0,0,0,1,1,0,1,–,1,?,1,0,–,0,?,?,?,0,–,–,2,3,–,–,–,–,–,
Orbiculapollis,lucidus,Chlonova 1961,Chlonova 1961,4,0,?,0,0,2,1,5,1,3,0,?,0,–,–,–,?,?,?,–,–,–,1,?,–,–,–,–,–,
Pandaniidites,typicus,(Norton in Norton & Hall 1969) Sweet 1986,Sweet 1986,8,0,0,0,0,0,1,1,1,–,0,?,1,0,–,3,?,?,?,1,4,–,1,?,–,–,–,–,–,"polar outline described as ""elliptic to ovate"", but axis orientation unclear and dimensions suggest ±circular"
Paraalnipollenites,alterniporus,(Simpson 1961) Srivastava 1975,Simpson 1961,9,0,0,0,0,2,1,?,?,–,?,?,?,?,?,?,?,?,?,?,?,–,1,?,?,1,?,?,?,
Penetetrapites,inconspicuus,Sweet 1986,Sweet 1986,A,5,0,0,0,2,2,2,?,–,0,?,1,1,4,0,?,?,–,1,0,–,0,?,?,?,?,?,?,usually tetraporoid
Phaseoliidites,stanleyi,Elsik 1968,Elsik 1968,5,0,0,0,0,1,1,2,?,–,?,?,1,1,4,4,?,0,–,1,2,–,2,1,–,–,–,–,–,
Polotricolporites,rotundus,Sweet 1986,Sweet 1986,4,2,0,0,0,2,?,0,?,–,?,?,1,1,2,6,2,?,?,?,?,–,?,?,–,–,–,–,–,
Polyatriopollenites,levis,(Stanley 1965) Nichols 2002,Stanley 1965,A,0,0,0,0,4,0,2,?,–,1,?,?,?,?,?,?,0,–,0,–,–,0,1,0,0,0,0,0,
Polyvestibulopollenites,verus,(Potonié) Thomson & Pflug 1953,Lupia 1999,A,0,0,0,0,4,1,2,?,–,0,?,1,0,–,0,?,?,–,?,?,–,1,0,?,1,0,0,0,in Lupia (1999) as Alnipollenites verus
Porosipollis,porosus,(Mchedlishvili in Samoilovich & Mchedlishvili 1961) Krutzsch 1969,Krutzsch 1969; Jansonius & Hills 1976,C,–,?,0,0,2,1,2,?,–,1,0,1,1,4,0,?,?,?,?,?,–,1,?,–,–,–,–,–,
Pulcheripollenites,inrasus,Srivastava 1969,Srivastava 1969b,9,0,0,0,0,1,1,2,?,–,?,?,1,0,–,5,?,?,?,0,–,–,1,?,?,?,?,?,?,
Quercoidites,genustriatus,Stanley 1965,Stanley 1965,4,2,0,0,0,?,1,0,1,–,1,?,1,?,?,5,?,–,–,0,–,–,0,?,–,–,–,–,–,
Quercoidites,sternbergii,Srivastava 1967,Srivastava 1967,4,2,0,0,0,1,1,0,1,–,?,?,1,?,?,4,?,1,?,0,–,–,?,?,–,–,–,–,–,
Racemonocolpites,formosus,Sweet 1986,Sweet 1986,1,–,0,0,0,0,2,1,1,–,3,1,1,1,2,2,?,–,–,0,–,–,0,?,–,–,–,–,–,"""monocolpate"", here treated as monosulcate"
Retibrevitricolporites,beccus,Sweet 1986,Sweet 1986,5,0,0,0,0,2,1,2,0,–,?,?,1,0,–,6,?,?,1,0,–,–,1,?,–,–,–,–,–,
Retitrescolpites,anguloluminosus,(Anderson 1960) Frederiksen 1979,Anderson 1960,4,2,0,0,0,1,1,1,1,–,0,?,1,1,4,6,?,?,2,0,–,–,0,?,–,–,–,–,–,
Retitricolpites,crassus,"Samoilovich, 1965",Samoilovich 1965,4,0,0,0,0,?,1,0,1,–,2,0,1,0,–,6,?,1,?,?,?,–,1,?,–,–,–,–,–,
Rutihesperipites,trochuensis,(Srivastava 1967) Srivastava 1977,Srivastava 1967; Srivastava 1977,4,2,0,0,0,2,1,0,1,–,0,0,1,0,–,5,?,–,–,0,–,–,0,?,–,–,–,–,–,
Scollardia,trapaformis,Srivastava 1967,Srivastava 1967,4,0,0,0,0,2,2,?,?,–,?,?,1,0,–,5,?,?,–,0,–,–,0,?,–,–,–,–,–,
