genus,species_epithet,Aptian,Albian,Cenomanian,Turonian-Santonian,Campanian,Maastrichtian,Paleocene,Cretaceous,Monosulcate,Porate,Colpate,Triprojectacites,Other
Rousea,duplibaculata,0,1,0,0,0,0,0,1,0,0,1,0,0
Rousea,georgensis,0,1,1,0,0,0,0,1,0,0,1,0,0
Rousea,iconica,0,1,0,0,0,0,0,1,0,0,1,0,0
Rousea,marthae,0,1,0,0,0,0,0,1,0,0,1,0,0
Rousea,miculipollis,0,1,0,0,0,0,0,1,0,0,1,0,0
Rousea,prosimilis,0,1,1,0,0,0,0,1,0,0,1,0,0
Rousea,regia,0,0,1,0,0,0,0,1,0,0,1,0,0
Rousea,retiformis,0,1,1,1,1,0,0,1,0,0,1,0,0
Rousea,scitula,0,0,1,0,0,0,0,1,0,0,1,0,0
Santalacites,minor,0,0,0,1,1,0,0,1,0,1,0,0,0
Satishia,candida,0,0,1,0,0,0,0,1,0,0,1,0,0
Satishia,compacta,0,0,0,0,0,1,1,1,0,0,1,0,0
Satishia,glyceia,0,1,0,0,0,0,0,1,0,0,1,0,0
Semioculopollis,verrucosus,0,0,0,1,0,0,0,1,0,1,0,0,0
Senectotetradites,fenestralis,0,1,0,0,0,0,0,1,0,0,1,0,0
Senectotetradites,festivus,0,1,0,0,0,0,0,1,0,0,1,0,0
Senectotetradites,grossu,0,0,1,0,0,0,0,1,0,0,1,0,0
Senectotetradites,verireticulatus,0,0,1,0,0,0,0,1,0,0,1,0,0
Senipites,usapollis,0,1,0,0,0,0,0,1,0,0,1,0,0
Siberiapollis,montanensis,0,0,0,0,1,0,0,1,0,1,0,0,0
Simpsonipollis,mullensis,0,0,0,0,0,1,0,1,0,0,1,0,0
Sindorapollis,granulatus,0,0,0,0,1,0,0,1,0,0,1,0,0
Singhipollis,orbiculatus,0,0,1,0,0,0,0,1,1,0,0,0,0
Smilipollis,sp. B (Doyle and Robbins 1977),1,0,0,0,0,0,0,1,1,0,0,0,0
Stellapollis,barghoornii,0,1,1,0,0,0,0,1,1,0,0,0,0
Stellapollis,largissimus,0,0,1,0,0,0,0,1,1,0,0,0,0
Stellapollis,sp. (Doyle and Robbins 1977),1,0,0,0,0,0,0,1,1,0,0,0,0
Striatopollis,dubius,0,0,0,0,1,0,0,1,0,0,1,0,0
Striatopollis,paraneus,0,1,1,0,0,0,0,1,0,0,1,0,0
Striatopollis,striatus,0,0,0,0,1,1,0,1,0,0,1,0,0
Striatopollis,tectatus,0,0,0,0,0,1,0,1,0,0,1,0,0
Striatopollis,trochuensis,0,1,1,1,1,1,0,1,0,0,1,0,0
Striatopollis,vermimurus,0,1,0,0,0,0,0,1,0,0,1,0,0
Subtriporopollenites,alpinus,0,0,0,0,1,0,0,1,0,1,0,0,0
Thomsonipollis,expolitus,0,0,0,0,0,1,0,1,0,1,0,0,0
Thomsonipollis,magnificus,0,0,0,0,0,0,1,0,0,1,0,0,0
Triatriopollenites,costatus,0,0,0,0,1,1,1,1,0,1,0,0,0
Tricolpites,albiensis,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,amplifissus,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,bacustriatus,0,0,0,0,0,1,0,1,0,0,1,0,0
Tricolpites,bathyreticulatus,0,0,0,0,0,1,1,1,0,0,1,0,0
Tricolpites,blechrus,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,confossipollis,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,debilis,0,1,1,1,0,0,0,1,0,0,1,0,0
Tricolpites,delicatulus,0,0,0,0,0,1,0,1,0,0,1,0,0
Tricolpites,dettmanniae,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,favosus,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,floricolus,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,foveolatus,0,0,0,0,0,1,1,1,0,0,1,0,0
Tricolpites,fragosus,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,hians,0,1,1,1,1,1,1,1,0,0,1,0,0
Tricolpites,hyphantos,0,0,0,0,0,1,0,1,0,0,1,0,0
Tricolpites,maximus,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,micromunus,0,1,1,1,0,0,0,1,0,0,1,0,0
Tricolpites,minutus,0,1,1,1,1,0,0,1,0,0,1,0,0
Tricolpites,mitis,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,nemejcii,0,1,1,0,0,0,0,1,0,0,1,0,0
Tricolpites,parvistriatus,0,0,0,0,1,1,0,1,0,0,1,0,0
Tricolpites,psilascabratus,0,0,0,0,0,1,1,1,0,0,1,0,0
Tricolpites,reticulatus,0,0,1,1,1,1,1,1,0,0,1,0,0
Tricolpites,ringens,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,sagax,0,1,1,1,1,0,0,1,0,0,1,0,0
Tricolpites,sp. A (Doyle and Robbins 1977),1,0,0,0,0,0,0,1,0,0,1,0,0
Tricolpites,varius,0,0,0,0,0,1,1,1,0,0,1,0,0
Tricolpites,virgeus,0,1,1,1,1,1,1,1,0,0,1,0,0
Tricolpites,vulgaris,0,1,1,1,1,1,1,1,0,0,1,0,0
Tricolpopollenites,clavireticulatus,0,0,0,0,0,1,0,1,0,0,1,0,0
Tricolpopollenites,microreticulatus,0,0,0,0,0,1,0,1,0,0,1,0,0
Tricolpopollenites,microscabratus,0,0,0,0,0,1,0,1,0,0,1,0,0
Tricolpopollenites,prolatus,0,0,0,1,1,1,1,1,0,0,1,0,0
Tricolpopollenites,tesselatus,0,0,0,0,1,0,0,1,0,0,1,0,0
Tricolporites,rhomboides,0,0,0,0,1,1,1,1,0,0,1,0,0
Tricolporoidites,bohemicus,0,1,1,0,0,0,0,1,0,0,1,0,0
Tricolporoidites,eximius,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolporoidites,minimus,0,1,1,0,0,0,0,1,0,0,1,0,0
Tricolporoidites,nubiginus,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolporoidites,pacltovae,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolporoidites,robbinsiae,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolporoidites,sordidus,0,1,0,0,0,0,0,1,0,0,1,0,0
Tricolporopollenites,elongatus,0,0,0,0,0,1,0,1,0,0,1,0,0
Tricolporopollenites,foveotectatus,0,0,0,0,0,1,0,1,0,0,1,0,0
Tricolporopollenites,granustriatus,0,0,0,0,0,1,0,1,0,0,1,0,0
Tricolporopollenites,prolatus,0,0,0,1,1,1,0,1,0,0,1,0,0
Tricolporopollenites,sp. D (Wolfe et al. 1975),0,0,1,0,0,0,0,1,0,0,1,0,0
Tricolporopollenites,striatus,0,0,0,0,0,1,0,1,0,0,1,0,0
Triporopollenites,coryloides,0,0,0,0,0,0,1,0,0,1,0,0,0
Triporopollenites,rugatus,0,0,0,0,1,1,1,1,0,1,0,0,0
Trudopollis,cf. artifex,0,0,0,0,1,0,0,1,0,1,0,0,0
Trudopollis,variabilis,0,0,0,0,1,0,0,1,0,1,0,0,0
Tubifloridites,lilliei,0,0,0,0,0,1,1,1,0,0,1,0,0
Ulmipollenites,planeraeformis,0,0,0,0,0,1,1,1,0,1,0,0,0
Ulmipollenites,tricostatus,0,0,0,0,0,1,1,1,0,1,0,0,0
Ulmipollenites,undulosus,0,0,0,0,0,1,1,1,0,1,0,0,0
Ulmipollenites,verrucatus,0,0,0,0,0,1,0,1,0,1,0,0,0
Vacuopollis,munitus,0,0,0,0,0,1,0,1,0,1,0,0,0
Virgo,amiantopollis,0,1,1,1,0,0,0,1,0,0,1,0,0
Vitipites,affluens,0,0,0,0,0,1,1,1,0,0,1,0,0
Wodehouseia,fimbriata,0,0,0,0,0,1,1,1,0,1,0,0,0
Wodehouseia,spinata,0,0,0,0,1,1,1,1,0,1,0,0,0
